id,region,distrito,latitud_a,longitud_a
158002,Ancash, Antonio Raymondi,-10.15801,-77.46992
159002,Ancash, Antonio Raymondi,-10.15797999,-77.47354333
160002,Ancash, Buena Vista Alta,-9.43055,-78.20464
161002,Ancash, Cabana,-8.411301666,-78.03951916
162002,Ancash, Caraz,-9.032121666,-77.75379666000001
163002,Ancash, Caraz,-9.031099999,-77.77698666000001
164002,Ancash, Carhuaz,-9.282019999999999,-77.64855
165002,Ancash, Carhuaz,-9.25662,-77.61461
166002,Ancash, Carhuaz,-9.286423333,-77.64761833
167002,Ancash, Carhuaz,-9.279353899,-77.65527744000001
168002,Ancash, Carhuaz,-9.283329999999999,-77.64592
169002,Ancash, Cascapara,-9.228609999,-77.751505
170002,Ancash, Casma,-9.469060000000001,-78.30129
171002,Ancash, Casma,-9.457126948999999,-78.33441848
172002,Ancash, Casma,-9.466195282999999,-78.25970576
173002,Ancash, Casma,-9.455159999999999,-78.29975
174002,Ancash, Casma,-9.47011,-78.31352
175002,Ancash, Casma,-9.47115,-78.29253
176002,Ancash, Chavin de Huantar,-9.543253332999999,-77.17279999
177002,Ancash, Chavin de Huantar,-9.537891667,-77.18075666
178002,Ancash, Chavin de Huantar,-9.52493,-77.17008998999999
179002,Ancash, Chavin de Huantar,-9.535718333,-77.16370166
180002,Ancash, Chimbote,-9.044790000000001,-78.59273
181002,Ancash, Chimbote,-9.052960000000001,-78.58262000000001
182002,Ancash, Chimbote,-9.067080000000001,-78.57198
183002,Ancash, Chimbote,-9.057270000000001,-78.58360999999999
184002,Ancash, Chimbote,-9.057359999999999,-78.58758
185002,Ancash, Chimbote,-9.07225,-78.57525
186002,Ancash, Chimbote,-9.073650000000001,-78.57581
187002,Ancash, Chimbote,-9.073090000000001,-78.59125
188002,Ancash, Chimbote,-9.07666,-78.59645
189002,Ancash, Chimbote,-9.08569,-78.5804
190002,Ancash, Chimbote,-9.07732,-78.57742
191002,Ancash, Chimbote,-9.082649999999999,-78.57196999999999
192002,Ancash, Chimbote,-9.08052,-78.5706
193002,Ancash, Chimbote,-9.07282,-78.56883999999999
194002,Ancash, Chimbote,-9.075089999999999,-78.5686
195002,Ancash, Chimbote,-9.049939999999999,-78.58117
196002,Ancash, Chimbote,-9.11289,-78.56005999999999
197002,Ancash, Chimbote,-9.062290000000001,-78.57796999999999
198002,Ancash, Chimbote,-9.06418,-78.58542
199002,Ancash, Chimbote,-9.06503,-78.58620999999999
200002,Ancash, Chimbote,-9.068339999999999,-78.58889000000001
201002,Ancash, Chimbote,-9.073320000000001,-78.58828
202002,Ancash, Chimbote,-9.07132,-78.59730999999999
203002,Ancash, Chimbote,-9.079549999999999,-78.57697
204002,Ancash, Chimbote,-9.090920000000001,-78.56023
205002,Ancash, Chimbote,-8.80191,-78.55081
206002,Ancash, Chimbote,-8.810731763,-78.55250323
207002,Ancash, Chingalpo,-8.335750000000001,-77.59623000000001
208002,Ancash, Coishco,-9.028879999999999,-78.61591
209002,Ancash, Coris,-9.907088333000001,-77.81873499
210002,Ancash, Coris,-9.883981666,-77.77045833
211002,Ancash, Cáceres del Perú,-8.989848332999999,-78.03053666
212002,Ancash, Cáceres del Perú,-8.974693331999999,-78.0523
213002,Ancash, Huachis,-9.37425,-77.05598000000001
214002,Ancash, Huaraz,-9.52866,-77.53310999999999
215002,Ancash, Huaraz,-9.54025,-77.52871
216002,Ancash, Huaraz,-9.539260000000001,-77.52269
217002,Ancash, Huaraz,-9.52908,-77.52540999999999
218002,Ancash, Huaraz,-9.570220000000001,-77.53413999999999
219002,Ancash, Huari,-9.261653333,-77.17270166
220002,Ancash, Huarmey,-10.06161,-78.15357
221002,Ancash, Huarmey,-10.07,-78.15219999999999
222002,Ancash, Huarmey,-10.05245,-78.15521
223002,Ancash, Huarmey,-10.04568,-78.15715
224002,Ancash, Huayllabamba,-8.428196666,-77.61415999000001
225002,Ancash, Huayllabamba,-8.417713333,-77.63840499
226002,Ancash, Huayllabamba,-8.547491666000001,-77.48965833
227002,Ancash, Huayllabamba,-8.535006665999999,-77.52835166
228002,Ancash, Independencia,-9.511889999999999,-77.53368
229002,Ancash, Independencia,-9.486143053999999,-77.54218959000001
230002,Ancash, Independencia,-9.52256,-77.52806
231002,Ancash, Independencia,-9.522130000000001,-77.52685
232002,Ancash, La Merced,-9.738444999,-77.65166333000001
233002,Ancash, La Merced,-9.740673333,-77.62269333
234002,Ancash, Marca,-10.12803015,-77.44609354000001
235002,Ancash, Marca,-10.15246799,-77.47696000000001
236002,Ancash, Moro,-9.235901666,-78.09305166
237002,Ancash, Moro,-9.156138333,-78.18048166
238002,Ancash, Nepeña,-9.152049999999999,-78.27988000000001
239002,Ancash, Nepeña,-9.151300000000001,-78.2773
240002,Ancash, Nuevo Chimbote,-9.11673,-78.50234
241002,Ancash, Nuevo Chimbote,-9.14114,-78.50711
242002,Ancash, Nuevo Chimbote,-9.12936,-78.49654
243002,Ancash, Nuevo Chimbote,-9.15288,-78.50323
244002,Ancash, Nuevo Chimbote,-9.12473,-78.49744
245002,Ancash, Nuevo Chimbote,-9.121829999999999,-78.51016
246002,Ancash, Nuevo Chimbote,-9.12058,-78.52728000000001
247002,Ancash, Nuevo Chimbote,-9.12266,-78.52528
248002,Ancash, Nuevo Chimbote,-9.122920000000001,-78.54403000000001
