;disaster_type;disaster_name;pcode;# of damaged houses;# of affected people;pcode_parent;# of affected people;# of damaged houses;land_area;# of hit distritos
;Flood;Total;050401;86;270;0504;94746;23686.5;990.94514390316;2
;Flood;Total;080103;0;0;0801;7817;1954.25;13.9680859766982;1
;Flood;Total;061303;0;645;0613;10010;2502.5;564.670602283914;1
;Flood;Total;190305;4;20;1903;9342;2335.5;1243.41203878936;1
;Flood;Total;100311;1;4;1003;9538;2384.5;612.856451749723;1
;Flood;Total;120601;238;3686;1206;167756;41939;3271.40025269489;4
;Flood;Total;210201;314;1436;2102;84585;21146.25;2159.65222615568;3
;Flood;Total;170102;128;766;1701;60660;15165;29104.8363056599;6
;Flood;Total;150805;0;0;1508;114356;28589;24.2438980574918;4
;Flood;Total;060614;5;22;0606;10747;2686.75;152.897867196183;1
;Flood;Total;120608;118;0;1206;292085;73021.25;51071.1535748876;5
;Flood;Total;100605;92;1481;1006;128063;32015.75;1435.90816791882;13
;Flood;Total;150108;72;286;1501;976641;244160.25;115.22903986618;3
;Flood;Total;150124;0;0;1501;17044;4261;28.777663067148;1
;Flood;Total;040103;1;4;0401;91802;22950.5;231.877462490629;1
;Flood;Total;080901;34;204;0809;68868;17217;784.942719221344;2
;Flood;Total;030301;12;61;0303;3164;791;600.612159742508;1
;Flood;Total;081009;0;0;0810;2473;618.25;102.614201131047;1
;Flood;Total;020701;27;135;0207;12566;3141.5;246.584801271785;1
;Flood;Total;200304;20;100;2003;41238;10309.5;1940.00268042508;1
;Flood;Total;220603;772;3582;2206;71291;17822.75;107141.784816012;11
;Flood;Total;160701;1780;7657;1607;122472;30618;63479.2348513817;9
;Flood;Total;060807;7;29;0608;10078;2519.5;812.163463074055;1
;Flood;Total;040206;45;1000;0402;24050;6012.5;7111.75909737915;5
;Flood;Total;220510;39;180;2205;39390;9847.5;1089.12664828888;3
;Flood;Total;210102;1;4;2101;28189;7047.25;1934.96778879204;1
;Flood;Total;061308;250;1000;0613;1871;467.75;31.2341453747743;1
;Flood;Total;160304;1256;6367;1603;64470;16117.5;75449.0475344677;6
;Flood;Total;210402;328;1640;2104;31524;7881;174.409318197955;1
;Flood;Total;180202;3;10;1802;2573;643.25;857.671174552828;1
;Flood;Total;210807;1228;6110;2108;43220;10805;1584.83427268376;4
;Flood;Total;200210;15;75;2002;12287;3071.75;1065.62285985749;1
;Flood;Total;050205;3;7;0502;4575;1143.75;778.56108343812;1
;Flood;Total;120902;41;140;1209;5968;1492;73.9770224880867;1
;Flood;Total;160206;3944;16019;1602;71540;17885;30717.2680773552;5
;Flood;Total;081211;20;80;0812;21840;5460;236.290285053766;3
;Flood;Total;050201;111;546;0502;53976;13494;1472.06707317142;8
;Flood;Total;080301;250;1351;0803;133624;33406;1505.4073537602;8
;Flood;Total;120130;48;120;1201;10203;2550.75;21.8287263227224;1
;Flood;Total;080404;30;150;0804;7210;1802.5;733.071006186096;1
;Flood;Total;120603;90;450;1206;6168;1542;309.248451533337;1
;Flood;Total;210705;4;20;2107;3059;764.75;879.969401460586;1
;Flood;Total;120132;5;28;1201;4026;1006.5;13.5540006569731;1
;Flood;Total;220904;1319;6460;2209;72999;18249.75;8558.74175996513;9
;Flood;Total;080406;62;130;0804;5622;1405.5;128.044908315624;1
;Flood;Total;100702;502;4198;1007;218288;54572;66416.6762659147;16
;Flood;Total;170203;137;349;1702;38430;9607.5;23557.4306136957;3
;Flood;Total;081208;160;800;0812;12000;3000;353.904860985642;3
;Flood;Total;220301;50;226;2203;35388;8847;924.780555349907;3
;Flood;Total;090117;21;119;0901;167200;41800;1607.93582860857;5
;Flood;Total;030416;20;70;0304;1962;490.5;168.06545219058;1
